IndvID	Population	Probability	AFR,AJ,AMR,DOMI,EAS,EUR,SAS	EigenValues
RU428	EAS	1.0	0.0,0.0,0.0,0.0,1.0,0.0,0.0	-0.0124,-0.0365,0.0052,-0.0152,-0.0079,0.0256,-0.0080,0.0138,-0.0021,0.0098
RU429	EUR	0.87689864971928499	0.02,0.08,0.01,0.01,0.0,0.88,0.0	-0.0088,0.0166,0.0016,-0.0097,-0.0125,0.0043,0.0156,-0.0020,-0.0073,-0.0347
RU432	EUR	0.92055398523045595	0.0,0.0,0.07,0.0,0.0,0.92,0.0	-0.0097,0.0162,0.0094,-0.0054,0.0216,0.0049,0.0227,-0.0087,0.0023,-0.0144
RU434	AJ	0.93671804511278201	0.0,0.94,0.0,0.0,0.0,0.06,0.0	-0.0088,0.0163,0.0036,-0.0144,-0.0467,0.0028,0.0098,0.0134,-0.0128,-0.0104
RU457	EUR	0.99925925925925929	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0167,0.0081,-0.0094,0.0236,-0.0069,-0.0040,-0.0090,0.0062,0.0177
RU458	EUR	0.90045994425251408	0.0,0.09,0.0,0.01,0.0,0.9,0.0	-0.0092,0.0180,0.0029,-0.0132,-0.0118,-0.0082,-0.0126,0.0091,0.0058,-0.0131
RU461	EUR	0.99047186147186139	0.0,0.0,0.01,0.0,0.0,0.99,0.0	-0.0105,0.0172,0.0050,-0.0058,0.0291,-0.0107,-0.0278,-0.0009,-0.0012,0.0298
RU465	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0100,0.0177,0.0057,-0.0078,0.0260,0.0003,0.0053,0.0025,-0.0209,0.0041
RU466	EUR	0.6046338877840427	0.02,0.26,0.04,0.07,0.0,0.6,0.0	-0.0092,0.0145,0.0012,-0.0111,-0.0183,-0.0085,0.0034,-0.0216,-0.0080,-0.0096
RU467	EUR	0.99149206349206354	0.0,0.0,0.0,0.01,0.0,0.99,0.0	-0.0104,0.0182,0.0069,-0.0115,0.0297,0.0156,0.0270,0.0106,0.0215,-0.0395
RU472	AJ	0.94921804511278196	0.0,0.95,0.0,0.0,0.0,0.05,0.0	-0.0084,0.0167,0.0021,-0.0142,-0.0529,0.0044,0.0090,0.0150,0.0168,-0.0053
RU479	AJ	0.95880701754385955	0.0,0.96,0.0,0.01,0.0,0.03,0.0	-0.0087,0.0153,0.0058,-0.0143,-0.0346,-0.0037,-0.0012,-0.0079,-0.0013,-0.0080
RU480	AFR	0.99933333333333341	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0319,-0.0031,-0.0017,0.0025,-0.0051,-0.0014,0.0083,-0.0086,0.0522,0.0097
RU484	AMR	0.87384022502757963	0.0,0.0,0.87,0.12,0.0,0.0,0.0	-0.0042,0.0083,0.0106,0.0098,-0.0044,0.0063,-0.0059,0.0066,0.0011,-0.0001
RU502	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0312,-0.0033,-0.0020,-0.0016,-0.0005,-0.0045,-0.0018,0.0084,0.0043,0.0042
RU505	EUR	0.98855691812213564	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0111,0.0174,0.0032,-0.0090,0.0198,-0.0154,-0.0252,0.0007,-0.0074,0.0015
RU523	AFR	0.98428571428571432	0.98,0.0,0.0,0.02,0.0,0.0,0.0	0.0298,-0.0016,0.0002,0.0015,0.0082,-0.0111,-0.0285,0.0049,0.0120,0.0241
RU535	EUR	0.92764328014606656	0.01,0.02,0.02,0.03,0.0,0.93,0.0	-0.0095,0.0167,0.0052,-0.0074,0.0190,-0.0166,-0.0200,-0.0212,-0.0036,-0.0021
RU538	AMR	0.97962071846282373	0.0,0.0,0.98,0.01,0.0,0.0,0.0	-0.0101,-0.0042,0.0249,0.0456,-0.0023,0.0024,0.0055,-0.0001,-0.0008,-0.0272
RU549	EUR	0.99464387464387471	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0103,0.0186,0.0035,-0.0063,0.0219,-0.0069,-0.0033,-0.0119,-0.0045,-0.0135
RU560	EUR	0.98756075036075031	0.0,0.0,0.01,0.0,0.0,0.99,0.0	-0.0107,0.0166,0.0044,-0.0084,0.0120,-0.0110,-0.0305,-0.0191,-0.0101,0.0187
